action,appId,guid,channel,signature,subChannel,code
visitorLogin,1105260001,352024071820819,1,,,1
visitorLogin,1105260001,352024071820819,1,,,1
visitorLogin,1105260001,352024071820819,1,,,1
visitorLogin,1105260001,352024071820819,1,,,1
visitorLogin,1105260001,352024071820819,1,,,1
visitorLogin,1105260001,352024071820819,1,,,1
visitorLogin,1105260001,352024071820819,1,,,1
visitorLogin,1105260001,352024071820819,1,,,1
visitorLogin,1105260001,352024071820819,1,,,1
visitorLogin,1105260001,352024071820819,1,,,0
visitorLogin,1105260001,352024071820819,1,,,2
visitorLogin,1105260001,352024071820819,1,,,3
visitorLogin,1105260001,352024071820819,1,,,4
visitorLogin,1105260001,352024071820819,1,,,5
